Journal title,SJR Impact,SJR Subject Category Best Quartile,Journal article processing charges (APCs),Currency,APC in EUR (including 19% taxes),APC below 2000 EUR,APC information URL,Average number of weeks between submission and publication,Subject category 1,Subject category 2,Journal license,Journal URL,Publisher,pISSN,eISSN
Cancer Medicine,1.188,Q1,4070,EUR,4843,"no, but DEAL special terms",https://onlinelibrary.wiley.com/page/journal/20457634/homepage/article_publication_charges.htm,19,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,CC BY,https://onlinelibrary.wiley.com/journal/20457634,Wiley,NA,2045-7634
Translational Oncology,1.15,Q1,2930,USD,3277,no,https://www.elsevier.com/journals/translational-oncology/1936-5233/open-access-journal,18,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,"CC BY, CC BY-NC-ND",https://www.journals.elsevier.com/translational-oncology/,Elsevier,1944-7124,1936-5233
Cancer Cell International,1.145,Q1,2390,GBP,3274,no,https://cancerci.biomedcentral.com/about,15,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,Cytology,"CC BY, CC0",https://cancerci.biomedcentral.com,BMC,NA,1475-2867
Frontiers in Oncology,1.138,Q2,2950,USD,3300,no,http://www.frontiersin.org/oncology/fees,14,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,CC BY,http://www.frontiersin.org/oncology,Frontiers Media S.A.,NA,2234-943X
BMC Cancer,1.137,Q1,2190,EUR,2606,no,https://bmccancer.biomedcentral.com/about,19,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,"CC BY, CC0",http://bmccancer.biomedcentral.com,BMC,NA,1471-2407
Tumour Virus Research,1.097,Q1,900,USD,1007,yes,https://www.elsevier.com/journals/tumour-virus-research/2666-6790/open-access-journal,14,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,"CC BY, CC BY-NC-ND",https://www.journals.elsevier.com/tumour-virus-research,Elsevier,NA,2666-6790
CNS Oncology,1.088,Q1,1415,USD,1583,yes,https://www.futuremedicine.com/authorguide/openaccess,13,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,CC BY-NC-ND,https://www.futuremedicine.com/journal/cns,Future Medicine Ltd,2045-0907,2045-0915
JTO Clinical and Research Reports,0.923,Q2,2000,USD,2237,no,https://www.elsevier.com/journals/jto-clinical-and-research-reports/2666-3643/open-access-journal,19,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,"CC BY, CC BY-NC-ND",https://www.journals.elsevier.com/jto-clinical-and-research-reports/,Elsevier,NA,2666-3643
Breast Cancer: Basic and Clinical Research,0.909,Q2,1500,USD,1678,yes,https://journals.sagepub.com/author-instructions/bcb,8,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,"CC BY, CC BY-NC",https://journals.sagepub.com/home/bcb,SAGE Publishing,NA,1178-2234
Lung Cancer: Targets and Therapy,0.863,Q2,2390,USD,2673,no,https://www.dovepress.com/journal_pricing_bands.php?journal_id=83,16,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,"CC BY, CC BY-NC",https://www.dovepress.com/lung-cancer-targets--therapy-journal,Dove Medical Press,NA,1179-2728
OncoTargets and Therapy,0.836,Q2,2410,USD,2696,no,https://www.dovepress.com/journal_pricing_bands.php?journal_id=23,16,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,"CC BY, CC BY-NC",https://www.dovepress.com/oncotargets-and-therapy-journal,Dove Medical Press,NA,1178-6930
Breast Cancer: Targets and Therapy,0.834,Q2,2836,USD,3172,no,https://www.dovepress.com/journal_pricing_bands.php?journal_id=69,16,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,"CC BY, CC BY-NC",https://www.dovepress.com/breast-cancer---targets-and-therapy-journal,Dove Medical Press,NA,1179-1314
Oncology and Therapy,0.817,Q2,4500,GBP,6165,"no, but DEAL special terms",https://www.springer.com/journal/40487,6,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,CC BY-NC,https://www.springer.com/journal/40487,"Adis, Springer Healthcare",2366-1070,2366-1089
Transfusion Medicine and Hemotherapy,0.814,Q2,1580,EUR,1880,yes,https://www.karger.com/Journal/Guidelines/224170#sec62,21,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,Diseases of the blood and blood-forming organs,"CC BY, CC BY-NC",https://www.karger.com/tmh,Karger Publishers,1660-3796,1660-3818
Integrative Cancer Therapies,0.766,Q1,2000,USD,2237,no,https://journals.sagepub.com/author-instructions/ict,15,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,"CC BY, CC BY-NC",https://journals.sagepub.com/home/ict,SAGE Publishing,1534-7354,1552-695X
Cancer Management and Research,0.754,Q2,2410,USD,2696,no,https://www.dovepress.com/journal_pricing_bands.php?journal_id=55,16,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,"CC BY, CC BY-NC",https://www.dovepress.com/cancer-management-and-research-journal,Dove Medical Press,NA,1179-1322
Thoracic Cancer,0.73,Q2,2000,USD,2237,"no, but DEAL special terms",http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1759-7714/homepage/article_publication_charges.htm,41,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,"CC BY, CC BY-NC, CC BY-NC-ND",http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1759-7714,Wiley,1759-7706,1759-7714
Current Oncology,0.729,Q2,1800,CHF,2220,"yes, library special terms",https://www.mdpi.com/journal/curroncol/apc,6,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,CC BY,https://www.mdpi.com/journal/curroncol,MDPI AG,1198-0052,1718-7729
JMIR Cancer,0.724,Q2,1985,USD,2220,"yes, library special terms",https://cancer.jmir.org/fees/article-processing-fees,12,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,CC BY,https://cancer.jmir.org,JMIR Publications,NA,2369-1999
EXCLI Journal : Experimental and Clinical Sciences,0.72,Q1,No,-,0,yes,https://www.excli.de/index.php/excli/about#noAPC,9,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,Biology (General),CC BY,http://www.excli.de,"IfADo - Leibniz Research Centre for Working Environment and Human Factors, Dortmund",NA,1611-2156
Melanoma Management,0.699,Q1,1415,USD,1583,yes,https://www.futuremedicine.com/authorguide/openaccess,13,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,CC BY-NC-ND,https://www.futuremedicine.com/journal/mmt,Future Medicine Ltd,2045-0885,2045-0893
Immuno-Oncology and Technology,0.691,Q3,2750,EUR,3272,no,https://www.elsevier.com/journals/immuno-oncology-and-technology/2590-0188/open-access-journal,29,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,"CC BY, CC BY-NC-ND",https://www.journals.elsevier.com/immuno-oncology-and-technology,Elsevier,NA,2590-0188
Analytical Cellular Pathology,0.681,Q2,2000,USD,2237,no,https://www.hindawi.com/journals/acp/apc/,14,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,Cytology,CC BY,https://www.hindawi.com/journals/acp/,Hindawi Limited,2210-7177,2210-7185
ecancermedicalscience,0.665,Q3,1000,GBP,1370,yes,https://ecancer.org/en/journal/charges,27,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,CC BY,https://ecancer.org/en/journal,ecancer,NA,1754-6605
Tumor Biology,0.645,Q2,2000,USD,2237,no,https://www.iospress.nl/journal/tumor-biology/,15,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,CC BY-NC,https://www.iospress.nl/journal/tumor-biology/,IOS Press,1010-4283,1423-0380
Pathology and Oncology Research,0.64,Q2,2500,USD,2796,no,https://www.por-journal.com/journals/pathology-and-oncology-research/article-types,12,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,Pathology,CC BY,https://www.por-journal.com/journals/pathology-and-oncology-research,Frontiers Media S.A.,NA,1532-2807
Technology in Cancer Research & Treatment,0.596,Q2,2500,USD,2796,no,https://journals.sagepub.com/author-instructions/TCT#ArticleProcessingCharge,13,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,"CC BY, CC BY-NC",https://journals.sagepub.com/home/tct,SAGE Publishing,1533-0346,1533-0338
Clinical Medicine Insights: Oncology,0.586,Q3,2000,USD,2237,no,https://journals.sagepub.com/author-instructions/onc,8,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,"CC BY, CC BY-NC",https://journals.sagepub.com/home/onc,SAGE Publishing,NA,1179-5549
Infectious Agents and Cancer,0.583,Q3,2490,GBP,3411,no,https://infectagentscancer.biomedcentral.com/about,17,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,Infectious and parasitic diseases,"CC BY, CC0",https://infectagentscancer.biomedcentral.com/,BMC,NA,1750-9378
Cell Division,0.581,Q3,2390,GBP,3274,no,https://celldiv.biomedcentral.com/about,6,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,Cytology,"CC BY, CC0",http://celldiv.biomedcentral.com,BMC,NA,1747-1028
EJC Supplements,0.571,Q3,3000,USD,3356,no,https://www.elsevier.com/journals/ejc-supplements/1359-6349/open-access-journal,9,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,"CC BY, CC BY-NC-ND",https://www.journals.elsevier.com/european-journal-of-cancer-supplement,Elsevier,1359-6349,1878-1217
Sarcoma,0.549,Q2,800,USD,895,yes,https://www.hindawi.com/journals/sarcoma/apc/,14,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,CC BY,https://www.hindawi.com/journals/sarcoma/,Hindawi Limited,1357-714X,1369-1643
Cancer Control,0.548,Q2,2500,USD,2796,no,https://journals.sagepub.com/author-instructions/CCX,12,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,"CC BY, CC BY-NC",https://journals.sagepub.com/home/ccx,SAGE Publishing,1073-2748,1526-2359
Cancer Informatics,0.547,Q3,1700,USD,1902,yes,https://journals.sagepub.com/author-instructions/cix,8,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,"CC BY, CC BY-NC",https://journals.sagepub.com/home/cix,SAGE Publishing,NA,1176-9351
Hereditary Cancer in Clinical Practice,0.526,Q3,2090,GBP,2863,no,https://hccpjournal.biomedcentral.com/about,18,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,Genetics,"CC BY, CC0",https://hccpjournal.biomedcentral.com/,BMC,NA,1897-4287
Discover Oncology,0.514,Q3,1140,GBP,1562,yes,https://www.springer.com/journal/12672/open-access-publishing,5,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,CC BY,https://www.springer.com/journal/12672/,Springer,NA,2730-6011
Cancer Reports,0.513,Q3,2100,USD,2349,"no, but DEAL special terms",https://onlinelibrary.wiley.com/page/journal/25738348/homepage/article-publication-charges,17,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,CC BY,https://onlinelibrary.wiley.com/journal/25738348,Wiley,NA,2573-8348
Journal of Circulating Biomarkers,0.485,Q3,1500,EUR,1785,yes,https://journals.aboutscience.eu/index.php/jcb/publication_fees,8,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,CC BY-NC,https://journals.aboutscience.eu/index.php/jcb,AboutScience Srl,NA,1849-4544
Molecular & Cellular Oncology,0.436,Q3,1615,GBP,2212,no,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=kmco20,6,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,"CC BY, CC BY-NC",https://www.tandfonline.com/journals/kmco20,Taylor & Francis Group,NA,2372-3556
International Journal of Breast Cancer,0.415,Q3,925,USD,1035,yes,https://www.hindawi.com/journals/ijbc/apc/,19,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,CC BY,https://www.hindawi.com/journals/ijbc/,Hindawi Limited,2090-3170,2090-3189
The Breast Journal,0.395,Q2,2175,USD,2433,no,https://www.hindawi.com/journals/tbj/apc/,19,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,Public aspects of medicine,CC BY,https://www.hindawi.com/journals/tbj/,Hindawi-Wiley,1075-122X,1524-4741
Reports of Practical Oncology and Radiotherapy,0.395,Q3,No,-,0,yes,https://journals.viamedica.pl/rpor/about/customPage/aboutPlugin-page-29?adapted=1#aboutPlugin-page-29,16,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,Medical physics. Medical radiology. Nuclear medicine,CC BY-NC-ND,https://journals.viamedica.pl/rpor/index,Via Medica sp. z.o.o. VM Group Via Medica,1507-1367,2083-4640
Journal of Immunotherapy and Precision Oncology,0.393,Q3,2400,USD,2685,no,https://meridian.allenpress.com/innovationsjournals/pages/Policies-and-Processes,24,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,Immunologic diseases. Allergy,"CC BY, CC BY-NC-ND, Public domain",https://meridian.allenpress.com/innovationsjournals-JIPO,Innovative Healthcare Institute,2666-2345,2590-017X
Journal of Skin Cancer,0.35,Q3,925,USD,1035,yes,https://www.hindawi.com/journals/jsc/apc/,21,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,CC BY,https://www.hindawi.com/journals/jsc/,Hindawi Limited,2090-2905,2090-2913
Leukemia Research Reports,0.333,Q3,880,USD,984,yes,https://www.elsevier.com/journals/leukemia-research-reports/2213-0489/open-access-journal,23,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,"CC BY, CC BY-NC-ND",http://www.journals.elsevier.com/leukemia-research-reports/,Elsevier,NA,2213-0489
International Journal of Surgical Oncology,0.318,Q3,925,USD,1035,yes,https://www.hindawi.com/journals/ijso/apc/,20,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,CC BY,https://www.hindawi.com/journals/ijso/,Hindawi Limited,2090-1402,2090-1410
Rare Tumors,0.256,Q4,895,USD,1001,yes,https://journals.sagepub.com/author-instructions/rtu,15,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,"CC BY, CC BY-NC",http://journals.sagepub.com/home/rtu,SAGE Publishing,2036-3605,2036-3613
Case Reports in Oncology,0.252,Q4,1060,CHF,1308,yes,https://www.karger.com/Journal/Guidelines/239061#sec62,11,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,"CC BY, CC BY-NC",http://www.karger.com/cro,Karger Publishers,NA,1662-6575
International Journal of Hematology-Oncology and Stem Cell Research,0.224,Q3,No,-,0,yes,https://ijhoscr.tums.ac.ir/index.php/ijhoscr/about,12,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,CC BY-NC,https://ijhoscr.tums.ac.ir/,Tehran University of Medical Sciences,2008-3009,2008-2207
Cellular Oncology,-,-,2000,USD,2237,no,https://www.hindawi.com/journals/acp/apc/,16,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,Cytology,CC BY,https://www.hindawi.com/journals/acp/,Hindawi Limited,1570-5870,1875-8606
Case Reports in Oncological Medicine,-,-,725,USD,811,yes,https://www.hindawi.com/journals/crionm/apc/,16,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,CC BY,https://www.hindawi.com/journals/crionm/,Hindawi Limited,2090-6706,2090-6714
Cancer & Metabolism,-,-,2390,GBP,3274,no,https://cancerandmetabolism.biomedcentral.com/about,14,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,"CC BY, CC0",https://cancerandmetabolism.biomedcentral.com,BMC,NA,2049-3002
Journal of Hepatocellular Carcinoma,-,-,2836,USD,3172,no,https://www.dovepress.com/journal_pricing_bands.php?journal_id=148,16,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,"CC BY, CC BY-NC",https://www.dovepress.com/journal-of-hepatocellular-carcinoma-journal,Dove Medical Press,NA,2253-5969
Journal of Global Oncology,-,-,2400,USD,2685,no,https://ascopubs.org/go/authors/open-access,20,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,"CC BY, CC BY-NC-ND",https://ascopubs.org/journal/jgo,American Society of Clinical Oncology,NA,2378-9506
Journal of Cancer and Allied Specialties,-,-,No,-,0,yes,http://journals.sfu.ca/jcas/index.php/jcas/information/authors,12,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,CC BY-NC-SA,http://journals.sfu.ca/jcas/index.php/jcas/index,Shaukat Khanum Memorial Trust,NA,2411-989X
European Journal of Breast Health,-,-,50,USD,56,yes,https://www.eurjbreasthealth.com/submission-fee,24,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,CC BY-NC-ND,https://www.eurjbreasthealth.com/home,Galenos Publishing House,NA,2587-0831
NAR Cancer,-,-,2225,USD,2489,no,https://academic.oup.com/narcancer/pages/General_Instructions,13,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,Genetics,"CC BY, CC BY-NC",https://academic.oup.com/narcancer,Oxford University Press,NA,2632-8674
Cancer Research Communications,-,-,2550,USD,2852,no,https://aacrjournals.org/pages/publication-fees-and-reprints#crc-fees,9,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,CC BY,https://aacrjournals.org/cancerrescommun,American Association for Cancer Research,NA,2767-9764
Molecular Neurodegeneration,5.158,Q1,2590,GBP,3548,no,https://molecularneurodegeneration.biomedcentral.com/about,12,Neurology. Diseases of the nervous system,Geriatrics,"CC BY, CC0",https://molecularneurodegeneration.biomedcentral.com/,BMC,NA,1750-1326
Alzheimer’s Research & Therapy,2.65,Q1,2990,GBP,4096,no,https://alzres.biomedcentral.com/about,16,Neurology. Diseases of the nervous system,,"CC BY, CC0",https://alzres.biomedcentral.com,BMC,NA,1758-9193
Translational Neurodegeneration,2.571,Q1,2490,GBP,3411,no,https://translationalneurodegeneration.biomedcentral.com/about,10,Neurology. Diseases of the nervous system,,"CC BY, CC0",https://translationalneurodegeneration.biomedcentral.com,BMC,NA,2047-9158
Journal of Neuroinflammation,2.439,Q1,2890,GBP,3959,no,https://jneuroinflammation.biomedcentral.com/about,12,Neurology. Diseases of the nervous system,,"CC BY, CC0",https://jneuroinflammation.biomedcentral.com/,BMC,NA,1742-2094
Acta Neuropathologica Communications,2.395,Q1,2990,GBP,4096,no,https://actaneurocomms.biomedcentral.com/about,8,Neurology. Diseases of the nervous system,,"CC BY, CC0",http://actaneurocomms.biomedcentral.com,BMC,NA,2051-5960
Neurology: Neuroimmunology & Neuroinflammation,2.288,Q1,3450,USD,3859,no,https://www.neurology.org/open-access/nn,8,Neurology. Diseases of the nervous system,,"CC BY, CC BY-NC-ND",https://nn.neurology.org,Wolters Kluwer,NA,2332-7812
npj Parkinson's Disease,2.138,Q1,2790,GBP,3822,no,https://www.nature.com/npjparkd/about/apc,11,Neurology. Diseases of the nervous system,,CC BY,https://www.nature.com/npjparkd/,Nature Portfolio,NA,2373-8057
Brain Pathology,2.058,Q1,3500,EUR,4165,"no, but DEAL special terms",https://onlinelibrary.wiley.com/page/journal/17503639/article_publication_charges,23,Neurology. Diseases of the nervous system,Pathology,"CC BY, CC BY-NC, CC BY-NC-ND",https://onlinelibrary.wiley.com/journal/17503639,Wiley,1015-6305,1750-3639
